Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
recentmonth_covidtest_2,testing,,dropdown,What month did you have your most recent COVID-19 test?,"1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December| 99, Prefer not to answer",,,,,,"[tested_for_covid] = ""1""",,,,,,PX570201
recentyear_covidtest_3,testing,,radio,What year did you have your most recent COVID-19 test?,"1,2019|2,2020|3,2021|4,2022|99, Prefer not to answer",,,,,,"[tested_for_covid] = ""1""",,,,,,"PX570201.  For sequentially added years, we will accept all versions of this variable going forward, including 1.0."
recentresult_covidtest,testing,,radio,What was the result of your most recent COVID-19 test?,"1, Negative | 2, Positive | 3, Never obtained results | 4, Indeterminate | 98, Don't know | 99, Prefer not to answer",,,,,,"[tested_for_covid] = ""1""",,,,,,PX570201
cov_tst_mthd_2,testing,,radio,How were you tested for your most recent test? ,"1,Nasal Swab|2,Throat Swab|3, Blood Sample|4, Saliva|99, Prefer not to answer",,,,,,"[tested_for_covid] = ""1""",,,,,,
test_accesswhere_2,testing,Accessibility to testing,radio,I know where I can get COVID-19 testing in my community.,"0, Strongly disagree | 1, Disagree | 2, Neither disagree or agree | 3, Agree | 4, Strongly agree| 99, Prefer not to answer",,,,,,,,,,,,RADX UP
test_accesseasy_2,testing,,radio,It is easy to get tested for COVID-19.,"0, Strongly disagree | 1, Disagree | 2, Neither disagree or agree | 3, Agree | 4, Strongly agree| 99, Prefer not to answer",,,,,,,,,,,,RADX UP
test_desc,covid_test,,descriptive,"This is for projects that are doing acute testing. To collect as part of the testing procedure by the study team. For many projects some of these fields may be prefilled, such as location, method target, test name, specimen type, specimen collector. Testing results will need to be filled in after collection",,,,,,,,,,,,,
covid_test_date_mdy,covid_test,,text,Date of COVID Test Information Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Note: Maximum expected day = Current day.
covid_test_tar_dis_stat_2,covid_test,,checkbox,Participant Testing Disease Status,"1, Asymptomatic | 2, Pre-symptomatic illness | 3, Mild/Moderate outpatient illness | 4, Acute illness | 5, Severe/Critical inpatient illness | 6, Exposed | 9, Convalescent illiness",,,,,,,,,,,,"| From RADx-UP Testing Core.  This replaces covid_test_target_disease_status with a multi select option based on site feedback. Definitions:  Asymptomatic = Being asymptomatic means that you have no symptoms. Pre-symptomatic illness = Time between infection and developing symptoms. This category can only be distinguished from ""asymptomatic"" if the patient is followed to determine if symptoms ever developed.  Mild/Moderate outpatient illness = Covid positive outpatient.  Acute illness (symptomatic) = Symptomatic COVID disease without regard for severity.  Severe/Critical inpatient illness = Covid positive inpatient.
Exposed = Was in contact with COVID positive person but is themselves asymptomatic at the time of testing.  Convalescent illness = Previously had COVID."
covid_test_approval,covid_test,,radio,Quality and Regulatory,"1, CLIA/CP certified | 2, CLIA Waiver | 3, FDA authorized (EUA) | 4, FDA cleared | 5, LDT | 90, Other (specify)",,,,,,,,,,,,From RADx-UP Testing Core
covid_test_approval_other,covid_test,,text,Other approval,,,,,,,"[covid_test_approval] = ""90""",,,,,,From RADx-UP Testing Core
covid_test_collection_setting,covid_test,,radio,Test Collection Setting,"1, Clinic | 2, Drive-through | 3, Home | 4, Mobile unit | 5, Lab | 6, Mail-in | 7, Community location (e.g., church, school, community center, etc.) | 90, Other, Specify",,,,,,,,,,,,From RADx-UP Testing Core
cov_tst_col_set_oth,covid_test,,text,Other setting,,,,,,,"[covid_test_collection_setting] = ""90""",,,,,,From RADx-UP Testing Core.  This question 'covid_test_collection_setting_other' can also be submitted with the variable name synonym 'cov_tst_col_set_oth'.
covid_test_performed_location,covid_test,,radio,Test Performed Location,"1, Clinic | 2, Drive-through | 3, Home | 4, Mobile unit | 5, Lab | 6, Mail-in | 7, Community location (e.g., church, school, community center, etc.) | 90, Other, Specify",,,,,,,,,,,,From RADx-UP Testing Core
cov_tst_perf_loc_oth,covid_test,,text,Other performed location,,,,,,,"[covid_test_performed_location] = ""90""",,,,,,| From RADx-UP Testing Core. This question 'covid_test_performed_location_other' can also be submitted with the variable name synonym 'cov_tst_perf_loc_oth'.
covid_test_study_setting,covid_test,,radio,Study Setting,"1, Community health center | 2, Nursing home or long-term care facility | 3, Prison or correctional facility | 4, Public housing | 5, Rural | 6, Urban | 7, School | 8, In-home | 90, Other, Specify",,,,,,,,,,,,From RADx-UP Testing Core
covid_test_study_setting_other,covid_test,,text,Other study setting,,,,,,,"[covid_test_study_setting] = ""90""",,,,,,From RADx-UP Testing Core
covid_test_type,covid_test,,radio,Test Method Target,"1, Antibody | 2, Antigen | 3, Nucleic acid/PCR | 4, Nucleic acid/Isothermal | 5, Molecular/host response | 6, Biochemical marker (eg, pH) | 90, Other, Specify",,,,,,,,,,,,From RADx-UP Testing Core
covid_test_type_other,covid_test,,text,Other method target,,,,,,,"[covid_test_type] = ""90""",,,,,,From RADx-UP Testing Core
covid_test_name,covid_test,,text,Test manufacturer (or LDT) and test name,,,,,,,,,,,,,From RADx-UP Testing Core
covid_test_specimen_type,covid_test,,radio,Specimen Type,"1, Anterior nasal swab | 2, Mid-turbinate nasal swab | 3, Nasopharyngeal swab | 4, Oropharyngeal swab | 5, Nasal lavage | 6, Saliva | 7, Sputum | 8, Whole blood | 90, Other, Specify",,,,,,,,,,,,From RADx-UP Testing Core
covid_test_specimen_type_other,covid_test,,text,Other specimen type,,,,,,,"[covid_test_specimen_type] = ""90""",,,,,,From RADx-UP Testing Core
covid_test_specimen_collector,covid_test,,radio,Specimen Collector,"1, Self-collect | 2, Health Care Provider collected | 90, Other, Specify",,,,,,,,,,,,From RADx-UP Testing Core
cov_tst_spec_col_oth,covid_test,,text,Other specimen collector,,,,,,,"[covid_test_specimen_collector] = ""90""",,,,,,From RADx-UP Testing Core. This question 'covid_test_specimen_collector_other' can also be submitted with the variable name synonym 'cov_tst_spec_col_oth'.
covid_test_collect_datetime,covid_test,,text,Date and time specimen collected,,,datetime_mdy,,,,,,,,,,From RADx-UP Testing Core.  Note: Maximum expected day = Current day.
covid_test_result_datetime,covid_test,,text,Date and time result received,,,datetime_mdy,,,,,,,,,,From RADx-UP Testing Core.  Note: Maximum expected day = Current day.
covid_test_result_sent_datetime,covid_test,,text,Date and time result sent to participant,,,datetime_mdy,,,,,,,,,,From RADx-UP Testing Core.  Note: Maximum expected day = Current day.
covid_test_result_raw,covid_test,,text,Raw test result (if not a Positive/Negative/Failed report),,,,,,,,,,,,,From RADx-UP Testing Core
